lookup_url_num,url,source_url,source_offset,source_length,html_node,html_tag,html_left_sibling,html_right_sibling,html_parent
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element link at 0x19a5dff93b0>,link,link,link,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element link at 0x19a5dff9400>,link,link,style,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element style at 0x19a5dff9450>,style,link,link,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element link at 0x19a5dff94a0>,link,style,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff94f0>,meta,link,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9540>,script,meta,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9590>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff95e0>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9630>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9680>,script,script,script,head
